"GEOCODE" "NAME" "LAT" "LON" "TYPE" "DIST_ID" "DIST_NAM" "PROV_ID" "PROV_NAM" "coords.x1" "coords.x2"
"0" "AF110600019" "Pekot" 37.02 72.67 0 1106 "Wakhan" 11 "Badakhshan" 72.67 37.02
"1" "AF101500020" "Bando (Kawil Sabzawi)" 34.625 70.83334 0 1015 "Khas Kunar" 10 "Kunar" 70.83334 34.625
"2" "AF101500021" "Khas Konar" 34.64634 70.92204 1 1015 "Khas Kunar" 10 "Kunar" 70.92204 34.64634
"3" "AF101500022" "Lotan" 34.61666 70.83334 0 1015 "Khas Kunar" 10 "Kunar" 70.83334 34.61666
"4" "AF110600035" "Zamestani Dawan Su" 37.07 74.42 0 1106 "Wakhan" 11 "Badakhshan" 74.42 37.07
"5" "AF110600036" "Zamestani Doldol" 37.06 74.2 0 1106 "Wakhan" 11 "Badakhshan" 74.2 37.06
"6" "AF110600037" "Zemestani Baharak" 37.01 73.57 0 1106 "Wakhan" 11 "Badakhshan" 73.57 37.01
"7" "AF110600038" "Shashom" 37.03 73.25 0 1106 "Wakhan" 11 "Badakhshan" 73.25 37.03
"8" "AF110600039" "Kadan Khana" 37.06 73.88 0 1106 "Wakhan" 11 "Badakhshan" 73.88 37.06
"9" "AF110600040" "Karkat" 37.01 73.38 0 1106 "Wakhan" 11 "Badakhshan" 73.38 37.01
"10" "AF110600041" "Malang Zan" 37.02 73.28 0 1106 "Wakhan" 11 "Badakhshan" 73.28 37.02
"11" "AF160200042" "Shakhor" 37.00245 67.26812 0 1602 "Nahri Shahi" 16 "Balkh" 67.26812 37.00245
"12" "AF110600043" "Zemestani Pasa" 36.99 73.56 0 1106 "Wakhan" 11 "Badakhshan" 73.56 36.99
"13" "AF010200044" "Abdullah Khel" 34.56683 69.43393 0 102 "Dih Sabz" 1 "Kabul" 69.43393 34.56683
"14" "AF011100045" "Kooz Malang" 34.35056 69.38393 0 111 "Khaki Jabbar" 1 "Kabul" 69.38393 34.35056
"15" "AF072200046" "Melan (Do Abah)" 33.66666 69.305 0 722 "Sayid Karam" 7 "Paktya" 69.305 33.66666
"16" "AF071600047" "Qala-i-Rais" 33.61666 69.76687 0 716 "Jani Khel" 7 "Paktya" 69.76687 33.61666
"17" "AF070100048" "Shakar Khail" 33.58332 69.235 0 701 "Gardez" 7 "Paktya" 69.235 33.58332
"18" "AF072200049" "Melan Sheikhan" 33.71667 69.41656 0 722 "Sayid Karam" 7 "Paktya" 69.41656 33.71667
"19" "AF010200050" "Zadran Kala" 34.55552 69.35667 0 102 "Dih Sabz" 1 "Kabul" 69.35667 34.55552
"20" "AF070100051" "Habib Khail" 33.56647 69.2333 0 701 "Gardez" 7 "Paktya" 69.2333 33.56647
"21" "AF072200052" "Habib Qalah" 33.65667 69.32 0 722 "Sayid Karam" 7 "Paktya" 69.32 33.65667
"22" "AF070100053" "Hajyano Kalay" 33.65333 69.28307 0 701 "Gardez" 7 "Paktya" 69.28307 33.65333
"23" "AF070100054" "Lewaniyan" 33.66668 69.21602 0 701 "Gardez" 7 "Paktya" 69.21602 33.66668
"24" "AF070100055" "Sadeq Khail" 33.55533 69.16638 0 701 "Gardez" 7 "Paktya" 69.16638 33.55533
"25" "AF291400056" "Sarwar Khail" 33.00333 69.015 0 2914 "Sar Hawza" 29 "Paktika" 69.015 33.00333
"26" "AF050200057" "Shah Qadam" 33.65433 69.01582 0 502 "Charkh" 5 "Logar" 69.01582 33.65433
"27" "AF072200058" "Azad Khwar" 33.75001 69.5051 0 722 "Sayid Karam" 7 "Paktya" 69.5051 33.75001
"28" "AF070100059" "Kamran Khail (Nasrat Khail)" 33.65049 69.3222 0 701 "Gardez" 7 "Paktya" 69.3222 33.65049
"29" "AF072200060" "Mamozaee" 33.76643 69.42183 0 722 "Sayid Karam" 7 "Paktya" 69.42183 33.76643
"30" "AF072200061" "Mosa Karez" 33.73 69.4316 0 722 "Sayid Karam" 7 "Paktya" 69.4316 33.73
"31" "AF070100062" "Qader Khail (Mohammad Shah Khail)" 33.65533 69.30033 0 701 "Gardez" 7 "Paktya" 69.30033 33.65533
"32" "AF072200063" "Sewai Kala" 33.756 69.31666 0 722 "Sayid Karam" 7 "Paktya" 69.31666 33.756
"33" "AF072200064" "Tari" 33.71658 69.56 0 722 "Sayid Karam" 7 "Paktya" 69.56 33.71658
"34" "AF072200065" "Said Khail" 33.78362 69.36643 0 722 "Sayid Karam" 7 "Paktya" 69.36643 33.78362
