"OBJECTID" "PROV_34_ID" "PROV_34_NA" "DIST_34_ID" "DIST_34_NA" "AREA_SQKM" "HECTARES" "SHAPE_LENG" "Dis_Old_ID" "REGION" "T_P_BS" "T_P_MAL" "T_P_FMAL" "U_BS" "UR_MAL" "UR_FMAL" "RU_BS" "RU_MAL" "RU_FMAL" "POP_DEN"
"0" 1 32 "Hirat" 3207 "Gulran" 6078.11997699 607811.997699 4.585344012 2007 "Western" 90100 45100 45000 0 0 0 90100 45100 45000 14.824
"1" 2 32 "Hirat" 3206 "Koshk" 2909.98550675 290998.550675 2.78816263783 2006 "Western" 118800 60000 58800 15800 7900 7900 103000 52100 50900 40.825
"2" 3 32 "Hirat" 3216 "Koshki Kohna" 1671.25051359 167125.051359 2.4445106691 2016 "Western" 43700 22100 21600 0 0 0 43700 22100 21600 26.148
"3" 4 32 "Hirat" 3208 "Kohsan" 2232.12737023 223212.737023 2.56012389383 2008 "Western" 52100 26100 26000 0 0 0 52100 26100 26000 23.341
"4" 5 32 "Hirat" 3209 "Ghoryan" 7384.77899433 738477.899433 4.59225899574 2009 "Western" 84300 42800 41500 32100 16400 15700 52200 26400 25800 11.415
"5" 6 32 "Hirat" 3210 "Zanda  Jan
" 2513.72793865 251372.793865 2.80145149296 2010 "Western" 54600 27400 27200 0 0 0 54600 27400 27200 21.721
"6" 7 32 "Hirat" 3203 "Guzara" 2612.95396612 261295.396612 3.23810943304 2003 "Western" 140300 71100 69200 0 0 0 140300 71100 69200 53.694
"7" 8 32 "Hirat" 3205 "Karukh" 2014.05618791 201405.618791 2.60320187407 2005 "Western" 61000 30800 30200 6400 3300 3100 54600 27500 27100 30.287
"8" 9 32 "Hirat" 3204 "Pashtun Zarghun" 1907.349569 190734.9569 2.23969537797 2004 "Western" 95900 48900 47000 0 0 0 95900 48900 47000 50.279
"9" 10 32 "Hirat" 3212 "Obe" 2634.48798293 263448.798293 2.76860399484 2012 "Western" 72300 36800 35500 3200 1600 1600 69100 35200 33900 27.444
"10" 11 32 "Hirat" 3213 "Farsi" 2009.32712684 200932.712684 2.43529754979 2013 "Western" 29400 15200 14200 0 0 0 29400 15200 14200 14.632
"11" 12 33 "Farah" 3307 "Anar Dara" 10645.2562899 1064525.62899 4.94781250166 2107 "Western" 26600 13600 13000 0 0 0 26600 13600 13000 2.499
"12" 13 33 "Farah" 3308 "Qala Ka" 3598.12678683 359812.678683 2.98748662716 2108 "Western" 29500 15000 14500 0 0 0 29500 15000 14500 8.199
"13" 14 33 "Farah" 3306 "Khaki Safed" 1815.33499386 181533.499386 2.40086954696 2106 "Western" 29000 14700 14300 0 0 0 29000 14700 14300 15.975
"14" 15 32 "Hirat" 3214 "Shindand" 6762.97916794 676297.916794 5.77895722009 2014 "Western" 170900 86100 84800 4700 2500 2200 166200 83600 82600 25.27
"15" 16 33 "Farah" 3310 "Shib Koh" 2738.48462701 273848.462701 2.72198564402 2110 "Western" 22400 11400 11000 0 0 0 22400 11400 11000 8.18
"16" 17 33 "Farah" 3309 "Lash Wa Juwayn" 5490.83695745 549083.695745 3.6721602882 2109 "Western" 26700 13700 13000 0 0 0 26700 13700 13000 4.863
"17" 18 33 "Farah" 3311 "Pusht Rod" 407.263769039 40726.3769039 1.03628396273 2111 "Western" 38900 20000 18900 0 0 0 38900 20000 18900 95.515
"18" 19 33 "Farah" 3301 "Farah" 3462.50474424 346250.474424 3.8511122981 2101 "Western" 106400 54600 51800 34200 17700 16500 72200 36900 35300 30.729
"19" 20 33 "Farah" 3305 "Bala Buluk" 5450.51970864 545051.970864 4.51693938346 2105 "Western" 68400 35200 33200 0 0 0 68400 35200 33200 12.549
"20" 21 33 "Farah" 3303 "Gulistan" 7102.46090706 710246.090706 5.53523402501 2103 "Western" 41400 21200 20200 0 0 0 41400 21200 20200 5.829
"21" 22 33 "Farah" 3304 "Pur Chaman" 6693.60148472 669360.148472 6.60154343161 2104 "Western" 51100 26500 24600 0 0 0 51100 26500 24600 7.634
"22" 23 33 "Farah" 3302 "Bakwa" 2424.06803533 242406.803533 2.34581602664 2102 "Western" 33900 17400 16500 0 0 0 33900 17400 16500 13.985
"23" 24 34 "Nimroz" 3402 "Kang" 1249.98218615 124998.218615 2.32837590454 2202 "Southern" 21500 10900 10600 0 0 0 21500 10900 10600 17.2
